Ticker,Price,Change %,Change from Open %,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
AUUD,1.32,60.54%,-7.69%,0.7392,136632417.0,73.92,4863745,5364050,0.09327,0.010980001,0.045100003,7080546
BWMN,42.42,55.78%,0.17%,0.5553,3061276.0,55.53,14095302,17507734,0.17162001,0.63288,0.069,742678016
DKI,4.35,18.53%,-16.18%,0.41409999999999997,12006416.0,41.41,373432,1667701,0.27253,0.0088599995,0.0174,9124503
HUDI,0.93,28.03%,-11.90%,0.4533,39061702.0,45.33,4217115,14299182,0.70508003,0.0068699997,0.0156,13226744
HZO,52.12,46.08%,0.45%,0.4542,7672789.0,45.42,21402719,22086746,0.11445,0.9281,0.16229999,1151161216
JWEL,4.0,158.06%,0.76%,1.5613,85249997.0,156.13,2034824,2376131,0.14364,0.0,0.0004,9504524
SCKT,2.13,451.67%,-18.39%,5.7599,221018404.0,575.99,5418449,8240958,0.33296,0.07362,0.0105,17553242
SLN,15.43,29.12%,-7.60%,0.3975,16208741.0,39.75,25990480,47234613,0.21767001,0.4433,0.044099998,728830080
STKH,4.3,128.72%,11.40%,1.0532,75992752.0,105.32,3862661795,591689,0.18903999,0.0321,0.040999997,2544262
VREX,18.46,48.75%,0.38%,0.4819,13230659.0,48.19,40769640,42146485,0.016619999,1.01301,0.0324,778024064
XHLD,3.11,53.96%,5.42%,0.4604,54193509.0,46.04,3384247,11977443,0.13074,0.00616,0.0042,37249848
ZJYL,2.92,35.81%,-16.33%,0.6233,20025680.0,62.33,1941269,6827383,0.080579996,6.0000002e-05,0.0104,22855958
