Ticker,Price,Change %,Change from Open %,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
ADVB,7.91,24.18%,26.97%,-0.022,598232,,,,,,,,,
ALGS,7.65,36.85%,33.28%,0.0268,615679,,,,,,,,,
AQB,1.37,17.09%,20.18%,-0.0256,1261023,,,,,,,,,
AREN,2.2,25.00%,22.91%,0.017,1031157,,,,,,,,,
ARTW,2.87,30.75%,32.26%,-0.0113999999999999,31468916,,,,,,,,,
DDC,0.55,25.81%,24.09%,0.0138,718917,,,,,,,,,
DSY,4.82,4.78%,28.53%,-0.1848,367710,,,,,,,,,
FCUV,6.44,23.85%,21.28%,0.0212,331206,,,,,,,,,
GITS,2.71,26.64%,20.98%,0.0467,588212,,,,,,,,,
HYFM,1.95,21.88%,26.62%,-0.0375,702975,,,,,,,,,
MGN,0.13,22.12%,41.11%,-0.1346,6954988,,,,,,,,,
MGRX,0.59,20.81%,27.85%,-0.0550999999999999,4987201,,,,,,,,,
MWYN,0.83,17.81%,22.12%,-0.0353,667615,,,,,,,,,
NUTX,197.51,21.87%,21.44%,0.0034999999999999,379858,,,,,,,,,
OPAL,2.6,11.59%,24.40%,-0.103,509842,,,,,,,,,
PAVS,7.51,22.11%,30.61%,-0.065,407816,,,,,,,,,
RDGT,0.99,32.73%,39.23%,-0.0467,63456768,,,,,,,,,
RITR,0.17,1.33%,26.94%,-0.2018,24421404,,,,,,,,,
SLGB,0.63,12.16%,23.17%,-0.0894,3892037,,,,,,,,,
STDN,11.45,35.66%,29.38%,0.0486,1990801,,,,,,,,,
TGHL,1.0,23.12%,24.06%,-0.0076,1254110,,,,,,,,,
THH,3.11,35.75%,34.63%,0.0083,3960661,,,,,,,,,
VEEE,10.4,22.35%,21.50%,0.0070999999999999,414722,,,,,,,,,
